result,cap-shape,cap-shape,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
0,x,s,n,1,p,f,c,n,k,e,e,s,s,w,w,p,w,1,p,k,s,u
1,x,s,y,1,a,f,c,b,k,e,c,s,s,w,w,p,w,1,p,n,n,g
1,b,s,w,1,l,f,c,b,n,e,c,s,s,w,w,p,w,1,p,n,n,m
0,x,y,w,1,p,f,c,n,n,e,e,s,s,w,w,p,w,1,p,k,s,u
1,x,s,g,0,n,f,w,b,k,t,e,s,s,w,w,p,w,1,e,n,a,g
1,x,y,y,1,a,f,c,b,n,e,c,s,s,w,w,p,w,1,p,k,n,g
1,b,s,w,1,a,f,c,b,g,e,c,s,s,w,w,p,w,1,p,k,n,m
1,b,y,w,1,l,f,c,b,n,e,c,s,s,w,w,p,w,1,p,n,s,m
0,x,y,w,1,p,f,c,n,p,e,e,s,s,w,w,p,w,1,p,k,v,g
1,b,s,y,1,a,f,c,b,g,e,c,s,s,w,w,p,w,1,p,k,s,m
1,x,y,y,1,l,f,c,b,g,e,c,s,s,w,w,p,w,1,p,n,n,g
1,x,y,y,1,a,f,c,b,n,e,c,s,s,w,w,p,w,1,p,k,s,m
1,b,s,y,1,a,f,c,b,w,e,c,s,s,w,w,p,w,1,p,n,s,g
0,x,y,w,1,p,f,c,n,k,e,e,s,s,w,w,p,w,1,p,n,v,u
1,x,f,n,0,n,f,w,b,n,t,e,s,f,w,w,p,w,1,e,k,a,g
1,s,f,g,0,n,f,c,n,k,e,e,s,s,w,w,p,w,1,p,n,y,u
1,f,f,w,0,n,f,w,b,k,t,e,s,s,w,w,p,w,1,e,n,a,g
0,x,s,n,1,p,f,c,n,n,e,e,s,s,w,w,p,w,1,p,k,s,g
0,x,y,w,1,p,f,c,n,n,e,e,s,s,w,w,p,w,1,p,n,s,u
0,x,s,n,1,p,f,c,n,k,e,e,s,s,w,w,p,w,1,p,n,s,u
1,b,s,y,1,a,f,c,b,k,e,c,s,s,w,w,p,w,1,p,n,s,m
0,x,y,n,1,p,f,c,n,n,e,e,s,s,w,w,p,w,1,p,n,v,g
1,b,y,y,1,l,f,c,b,k,e,c,s,s,w,w,p,w,1,p,n,s,m
1,b,y,w,1,a,f,c,b,w,e,c,s,s,w,w,p,w,1,p,n,n,m
1,b,s,w,1,l,f,c,b,g,e,c,s,s,w,w,p,w,1,p,k,s,m
0,f,s,w,1,p,f,c,n,n,e,e,s,s,w,w,p,w,1,p,n,v,g
1,x,y,y,1,a,f,c,b,n,e,c,s,s,w,w,p,w,1,p,n,n,m
1,x,y,w,1,l,f,c,b,w,e,c,s,s,w,w,p,w,1,p,n,n,m
1,f,f,n,0,n,f,c,n,k,e,e,s,s,w,w,p,w,1,p,k,y,u
1,x,s,y,1,a,f,w,n,n,t,b,s,s,w,w,p,w,1,p,n,v,d
1,b,s,y,1,l,f,c,b,g,e,c,s,s,w,w,p,w,1,p,n,n,m
0,x,y,w,1,p,f,c,n,k,e,e,s,s,w,w,p,w,1,p,n,s,u
1,x,y,y,1,l,f,c,b,n,e,c,s,s,w,w,p,w,1,p,n,n,m
1,x,y,n,1,l,f,c,b,p,e,r,s,y,w,w,p,w,1,p,n,y,p
1,b,y,y,1,l,f,c,b,n,e,c,s,s,w,w,p,w,1,p,n,s,m
1,x,f,y,1,l,f,w,n,w,t,b,s,s,w,w,p,w,1,p,n,v,d
1,s,f,g,0,n,f,c,n,k,e,e,s,s,w,w,p,w,1,p,k,v,u
0,x,y,n,1,p,f,c,n,w,e,e,s,s,w,w,p,w,1,p,n,s,u
1,x,f,y,1,a,f,w,n,p,t,b,s,s,w,w,p,w,1,p,n,v,d
1,b,s,y,1,l,f,c,b,k,e,c,s,s,w,w,p,w,1,p,k,s,m
1,b,y,y,1,a,f,c,b,n,e,c,s,s,w,w,p,w,1,p,n,s,g
1,x,y,y,1,l,f,c,b,n,e,r,s,y,w,w,p,w,1,p,k,y,p
1,x,f,n,0,n,f,c,n,g,e,e,s,s,w,w,p,w,1,p,k,y,u
0,x,y,w,1,p,f,c,n,p,e,e,s,s,w,w,p,w,1,p,n,v,g
